game_key,bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
Random__VS__Heuristic__GAME__0,Random,Heuristic,0,False,Heuristic,-1,8,1.1239979267120361
Random__VS__Heuristic__GAME__1,Random,Heuristic,1,True,Heuristic,1,17,5.817296743392944
Random__VS__Heuristic__GAME__2,Random,Heuristic,2,False,Heuristic,-1,24,11.822909832000732
Random__VS__Heuristic__GAME__3,Random,Heuristic,3,True,Heuristic,1,11,3.0300872325897217
Random__VS__Heuristic__GAME__4,Random,Heuristic,4,False,Heuristic,-1,6,0.661829948425293
Random__VS__Heuristic__GAME__5,Random,Heuristic,5,True,Heuristic,1,11,2.4062001705169678
Random__VS__Heuristic__GAME__6,Random,Heuristic,6,False,Heuristic,-1,16,3.3437888622283936
Random__VS__Heuristic__GAME__7,Random,Heuristic,7,True,Heuristic,1,9,1.700592041015625
Random__VS__Heuristic__GAME__8,Random,Heuristic,8,False,Heuristic,-1,8,1.22416353225708
Random__VS__Heuristic__GAME__9,Random,Heuristic,9,True,Heuristic,1,9,1.6201231479644775
Random__VS__Heuristic__GAME__10,Random,Heuristic,10,False,Heuristic,-1,10,1.8727521896362305
Random__VS__Heuristic__GAME__11,Random,Heuristic,11,True,Heuristic,1,7,0.9138574600219727
Random__VS__Heuristic__GAME__12,Random,Heuristic,12,False,Heuristic,-1,12,2.9334864616394043
Random__VS__Heuristic__GAME__13,Random,Heuristic,13,True,Heuristic,1,9,1.7220749855041504
Random__VS__Heuristic__GAME__14,Random,Heuristic,14,False,Heuristic,-1,8,1.4489669799804688
Random__VS__Heuristic__GAME__15,Random,Heuristic,15,True,Heuristic,1,9,1.5056672096252441
Random__VS__Heuristic__GAME__16,Random,Heuristic,16,False,Heuristic,-1,10,2.3141562938690186
Random__VS__Heuristic__GAME__17,Random,Heuristic,17,True,Heuristic,1,9,1.9535846710205078
Random__VS__Heuristic__GAME__18,Random,Heuristic,18,False,Heuristic,-1,6,0.515824556350708
Random__VS__Heuristic__GAME__19,Random,Heuristic,19,True,Heuristic,1,5,0.47855257987976074
Random__VS__Heuristic__GAME__20,Random,Heuristic,20,False,Heuristic,-1,10,2.070951223373413
Random__VS__Heuristic__GAME__21,Random,Heuristic,21,True,Heuristic,1,5,0.43655920028686523
Random__VS__Heuristic__GAME__22,Random,Heuristic,22,False,Heuristic,-1,6,0.6592016220092773
Random__VS__Heuristic__GAME__23,Random,Heuristic,23,True,Heuristic,1,7,1.03464674949646
Random__VS__Heuristic__GAME__24,Random,Heuristic,24,False,Heuristic,-1,8,0.9251527786254883
Random__VS__Heuristic__GAME__25,Random,Heuristic,25,True,Heuristic,1,11,2.275257110595703
Random__VS__Heuristic__GAME__26,Random,Heuristic,26,False,Heuristic,-1,8,1.4828557968139648
Random__VS__Heuristic__GAME__27,Random,Heuristic,27,True,Heuristic,1,15,4.912902593612671
Random__VS__Heuristic__GAME__28,Random,Heuristic,28,False,Heuristic,-1,6,0.6161050796508789
Random__VS__Heuristic__GAME__29,Random,Heuristic,29,True,Heuristic,1,9,1.3823134899139404
Random__VS__Heuristic__GAME__30,Random,Heuristic,30,False,Heuristic,-1,10,1.9275593757629395
Random__VS__Heuristic__GAME__31,Random,Heuristic,31,True,Heuristic,1,5,0.4682328701019287
Random__VS__Heuristic__GAME__32,Random,Heuristic,32,False,Heuristic,-1,6,0.7595474720001221
Random__VS__Heuristic__GAME__33,Random,Heuristic,33,True,Heuristic,1,9,1.7408277988433838
Random__VS__Heuristic__GAME__34,Random,Heuristic,34,False,Heuristic,-1,10,1.956146240234375
Random__VS__Heuristic__GAME__35,Random,Heuristic,35,True,Heuristic,1,9,1.8465495109558105
Random__VS__Heuristic__GAME__36,Random,Heuristic,36,False,Heuristic,-1,8,1.5939390659332275
Random__VS__Heuristic__GAME__37,Random,Heuristic,37,True,Heuristic,1,11,2.7370402812957764
Random__VS__Heuristic__GAME__38,Random,Heuristic,38,False,Heuristic,-1,6,0.5572853088378906
Random__VS__Heuristic__GAME__39,Random,Heuristic,39,True,Heuristic,1,15,4.4916181564331055
Random__VS__Heuristic__GAME__40,Random,Heuristic,40,False,Heuristic,-1,16,5.298139333724976
Random__VS__Heuristic__GAME__41,Random,Heuristic,41,True,Heuristic,1,5,0.5000913143157959
Random__VS__Heuristic__GAME__42,Random,Heuristic,42,False,Heuristic,-1,12,2.600982427597046
Random__VS__Heuristic__GAME__43,Random,Heuristic,43,True,Heuristic,1,11,2.446129083633423
Random__VS__Heuristic__GAME__44,Random,Heuristic,44,False,Heuristic,-1,6,0.6605367660522461
Random__VS__Heuristic__GAME__45,Random,Heuristic,45,True,Heuristic,1,7,0.7998712062835693
Random__VS__Heuristic__GAME__46,Random,Heuristic,46,False,Heuristic,-1,10,1.9855289459228516
Random__VS__Heuristic__GAME__47,Random,Heuristic,47,True,Heuristic,1,11,3.205117702484131
Random__VS__Heuristic__GAME__48,Random,Heuristic,48,False,Heuristic,-1,7,1.3435628414154053
Random__VS__Heuristic__GAME__49,Random,Heuristic,49,True,Heuristic,1,8,1.4189069271087646
Random__VS__Heuristic__GAME__50,Random,Heuristic,50,False,Heuristic,-1,10,2.148230791091919
Random__VS__Heuristic__GAME__51,Random,Heuristic,51,True,Heuristic,1,9,1.6442029476165771
Random__VS__Heuristic__GAME__52,Random,Heuristic,52,False,Heuristic,-1,6,0.5759871006011963
Random__VS__Heuristic__GAME__53,Random,Heuristic,53,True,Heuristic,1,5,0.45697689056396484
